"","x"
"320","Eif4ebp2"
"321","Gm15564"
"322","Rplp0"
"323","Selplg"
"324","Bicd1"
"325","Hdac9"
"326","Kif11"
"327","Prex2"
"328","Rab38"
"329","Rpl41"
"330","Prkca"
"331","Kmt2a"
"332","Mogs"
"333","Cacybp"
"334","Atp6ap1"
"335","Sae1"
"336","Aldh1a1"
"337","Grb10"
"338","Sh3bgrl3"
"339","Cavin2"
"340","Ifrd2"
"341","Npm1"
"342","Lcp2"
"343","Itga6"
"344","Maml3"
"345","Gm48099"
"346","Prkn"
"347","Ctla2a"
"348","Akap13"
"349","Apoe"
"350","Ezh2"
"351","mt-Co1"
"352","Pou2f2"
"353","Glul"
"354","Trim47"
"355","Atp8a1"
"356","Rack1"
"357","Hsp90ab1"
"358","Dok6"
"359","Rab5if"
"360","H2-K1"
"361","Adam22"
"362","Procr"
"363","Mill2"
"364","Fcho2"
"365","Fgd5"
"366","Pgls"
"367","Slc8a1"
"368","Mycn"
"369","Tpk1"
"370","Palld"
"371","Cxcr4"
"372","Plekha5"
"373","Dennd4a"
"374","Il6ra"
"375","Ly6a"
"376","Fam111a"
"377","Lcp1"
"378","Edem1"
"379","Hells"
"380","Shmt2"
"381","Iigp1"
"382","Nop56"
"383","Rps9"
"384","Ripor2"
"385","Sox4"
"386","Pa2g4"
"387","Eya4"
"388","Cd47"
"389","Rps15"
"390","Pdcd4"
"391","Chst12"
"392","Cdc25a"
"393","Epb41"
"394","Scml4"
"395","Pdzd8"
"396","Arsb"
"397","Vwf"
"398","Tiam1"
"399","Zbed4"
"400","Tmed10"
"401","Gorasp2"
"402","Chchd2"
"403","Ube2e2"
"404","Mbd3"
"405","Jak1"
"406","Hspa8"
"407","Atf4"
"408","Myb"
"409","Noc2l"
"410","Ckap4"
"411","Pbx3"
"412","Foxn3"
"413","Rplp1"
"414","Patj"
"415","Eif4a1"
"416","Cd53"
"417","Ptpa"
"418","Ndufa11"
"419","Thsd4"
"420","Stxbp4"
"421","Canx"
"422","Serpina3g"
"423","Idh2"
"424","Nfe2l1"
"425","H2afx"
"426","Sec11c"
"427","Nucks1"
"428","Ltb"
"429","AC149090.1"
"430","Ak2"
"431","B2m"
"432","Taco1"
"433","Slc38a10"
"434","Gm4258"
"435","Camk2d"
"436","Large1"
"437","Srsf2"
"438","Knl1"
"439","H2-Q7"
"440","Itgb3"
"441","2310001H17Rik"
"442","Lta4h"
"443","Btf3"
"444","Mcm2"
"445","Grb2"
"446","Nedd4"
"447","Gatm"
"448","Lmo4"
"449","Manf"
"450","Ffar2"
"451","Naa50"
"452","Tmed2"
"453","Stxbp5"
"454","Immp2l"
"455","Atp5a1"
"456","Cpq"
"457","Ssr2"
"458","Acaca"
"459","Wdhd1"
"460","Ssrp1"
"461","Dtl"
"462","Fbl"
"463","Srsf3"
"464","Rsl1d1"
"465","Smarcc1"
"466","AI662270"
"467","Runx1t1"
"468","Alyref"
"469","Hnrnpa1"
"470","Kcnab2"
"471","Cbfa2t3"
"472","Mast4"
"473","Tcf12"
"474","Dennd5b"
"475","Srm"
"476","Ncapd2"
"477","Rrm1"
"478","Tom1l2"
"479","Pigt"
"480","Ghr"
"481","Nupr1"
"482","Rpl13a"
"483","Nme1"
"484","Pkm"
"485","Cdk14"
"486","Calm3"
"487","Gmfg"
"488","Cbx6"
"489","Ttc3"
"490","Kcnb2"
"491","Tfrc"
"492","Cers4"
"493","Cd164"
"494","G3bp1"
"495","Rpl36al"
"496","Mycbp2"
"497","Ptprj"
"498","Scarf1"
"499","Abcg2"
"500","Myc"
"501","Hsp90aa1"
"502","Selenoh"
"503","Bcl2"
"504","Exosc5"
"505","Gm19590"
"506","Hivep3"
"507","Luc7l2"
"508","Sox5"
"509","Thrb"
"510","Birc5"
"511","Phgdh"
"512","Rps2"
"513","Vapa"
"514","Epb41l4b"
"515","Cyyr1"
"516","Crim1"
"517","Mdga1"
"518","Serinc3"
"519","Prkcq"
"520","Sbf2"
"521","Stip1"
"522","Ppp1cc"
"523","Ndufs2"
"524","Nkx2-3"
"525","Cntrl"
"526","Atp1b3"
"527","B3gnt2"
"528","Tie1"
"529","Npas3"
"530","Sf3a1"
"531","Epsti1"
"532","Neo1"
"533","Npc2"
"534","Fry"
"535","Ybx1"
"536","Rrbp1"
"537","Pear1"
"538","Ap2s1"
"539","Cd74"
"540","Clk1"
"541","Nme2"
"542","Rps26"
"543","Arhgap12"
"544","Hmgb2"
"545","Gapdh"
"546","Gm16070"
"547","Inpp4b"
"548","Eya1"
"549","Dcun1d1"
"550","Adamts6"
"551","Kif15"
"552","Wwtr1"
"553","Oaz1"
"554","Rpl35a"
"555","Mboat2"
"556","Clec1a"
"557","Spata5"
"558","Rpl4"
"559","Zfhx3"
"560","Slc25a36"
"561","Snx5"
"562","Ostc"
"563","Hoxb6"
"564","Zfp704"
"565","Pgr"
"566","Hnrnpa3"
"567","Gm17276"
"568","Tcf7l2"
"569","N4bp2"
"570","Hmgn2"
