"","Chrm3","Cdk6","Il1rapl2","Gda","Trpc6","Cd34","Plcl1","Rora","Mecom","Rnf220","Dock10","Sult1a1","Magi2","Dlg2","H2afy","Slco3a1","Tox","Itsn1","Txnip","Plxdc2","Flt3","Slc22a3","Pbx1","Mmrn1","2610307P16Rik","Maml3","Ptpre","Eya4","Mdga1","Prkg1","Mllt3","Arhgap15","Sox4","Tespa1","Med12l","Satb1","Pitpnc1","Clnk","Exoc6b","Mpl","Fam117a","Alcam","St3gal1","Vav3","Pan3","Top2a","Sgms1","Tbxas1","Rad51b","Stmn1","Dnmt1","Ncam2","Abcg3","Prdm16","C530008M17Rik","Airn","Tgm2","Plac8","Samd12","Nbea","Vwf","Hacd4","Pdgfd","Cavin2","Mpo","Atp8b4","Grb10","Sell","Plxnc1","Lhcgr","9530026P05Rik","Myof","Kcnb2","Slc9a9","BC035044","Hdac9","Pdzk1ip1","Csgalnact1","Cacnb2","Car2","Cysltr2","Apoe","Tgfbr3","Neat1","Irf2bp2","Nfia","Parp8","Cmtm7","Plscr4","Pard3b","Dst","Adgrg3","Tmsb10","Prkn","Dennd4a","Hlf","Ifitm1","Clec2d","Ikzf2","Oxr1","Meis1","Pcdh7","Slc18a2","Dach1"
"Dock10",0,0.384039900249377,0,0,0,0,0,-0.690773067331671,0,0,0,0,0,0,0,0,0,0,-0.254364089775561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770573566084788,0,0,0,0,0,0,0,0.216957605985037,0.379052369077307,0,0,-0.249376558603491,0.72069825436409,0,0,0,0,0,0,0,0,0,-0.169576059850374,0,0,0,0,0,0.501246882793017,0,0,0,0,0,0,0,0,0,0,-0.72069825436409,0,0,0,0,0,0,0,0,0.5785536159601,0,0,0.528678304239402,0,0,0,0.625935162094763,0,0,0,-0.922693266832918,0,0,0,0,0,0,0,0
"Sult1a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169576059850374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162094763092269,0,0,0
"Magi2",0,0,0.516209476309227,0.249376558603491,0,-0.413965087281795,0.912718204488778,0,0,0,0,0,0,0.890274314214464,0,0,0,0,0,0,0,0,0.264339152119701,0,0,0,-0.778054862842893,0,0,0,0,0,0,0,0,0,0,-0.600997506234414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685785536159601,0,0,0,0,0,0,0,0,0,0.890274314214464,0,0.675810473815461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586034912718205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlg2",0,-0.748129675810474,0,0.0872817955112219,0,-0.827930174563591,0,0,0,0,0,0,0,0,0,0,0,0,0.501246882793017,0.927680798004987,0,0,0.553615960099751,0,-0.793017456359102,0,0,0,0,0,0,0,0,-0.922693266832918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645885286783042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2afy",0,0.249376558603491,0,0,0,0.71072319201995,0,0,-0.788029925187032,0,0.912718204488778,0,0,0,0,0,0,0,0,0,0.927680798004987,0,-0.917705735660848,0,0,0.309226932668329,0.643391521197007,0,0,-0.513715710723192,-0.486284289276808,0,0,0.695760598503741,0,0,0,0,0,-0.890274314214464,0,0,0,0.790523690773067,0,0,0,-0.396508728179551,0,0,0,0,0,-0.962593516209476,0,0,0,0,0,0,0,0,-0.44139650872818,0,0.972568578553616,0,0,0,0,-0.496259351620948,-0.501246882793017,0,0,0,0.935162094763092,0,-0.805486284289277,-0.451371571072319,0,0,0,0,0,0,0.940149625935162,0,0.476309226932668,0,0,0,-0.0249376558603491,0,0,0,0,0,0,0,0,0,0,-0.528678304239402,0,-0.608478802992519
"Slco3a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177057356608479,0,0,0,0,0,0,0,0,0,0,0,0.14713216957606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698254364089776,0,0,0,0,0,0.498753117206983,0,0,0,0,0,-0.807980049875312,0,0,0,0,0,0
"Tox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0623441396508728,0,0,0,0,0,0,0,0,0,0.204488778054863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221945137157107,0,0,0,0,0,0.952618453865337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itsn1",0,0,0,0,0,0,0,0,0.259351620947631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917705735660848,0,0,0,0,0,0,0,0,0.610972568578554,0,0,0,0,0,0.72069825436409,0,0,0,0,0,0,0.685785536159601,0,0.758104738154613,0,0,-0.680798004987531,0,0,0,0.187032418952618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890274314214464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Txnip",0,-0.0224438902743142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.678304239401496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381546134663342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197007481296758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plxdc2",0,-0.503740648379052,0,0,0,0,0,0,0,0,0,0,0,0.221945137157107,0,0,0,0,0,0,0,0,0,0,-0.927680798004987,-0.488778054862843,0,0.880299251870324,0,0,0.890274314214464,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.379052369077307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296758104738155,0,0,0.865336658354115,0,0,0,0,0,0.314214463840399,0,0.890274314214464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.466334164588529,0,0,0,0,0,0,0,0,0,0,0
