"","Chrm3","Cdk6","Il1rapl2","Gda","Trpc6","Cd34","Plcl1","Rora","Mecom","Rnf220","Dock10","Sult1a1","Magi2","Dlg2","H2afy","Slco3a1","Tox","Itsn1","Txnip","Plxdc2","Flt3","Slc22a3","Pbx1","Mmrn1","2610307P16Rik","Maml3","Ptpre","Eya4","Mdga1","Prkg1","Mllt3","Arhgap15","Sox4","Tespa1","Med12l","Satb1","Pitpnc1","Clnk","Exoc6b","Mpl","Fam117a","Alcam","St3gal1","Vav3","Pan3","Top2a","Sgms1","Tbxas1","Rad51b","Stmn1","Dnmt1","Ncam2","Abcg3","Prdm16","C530008M17Rik","Airn","Tgm2","Plac8","Samd12","Nbea","Vwf","Hacd4","Pdgfd","Cavin2","Mpo","Atp8b4","Grb10","Sell","Plxnc1","Lhcgr","9530026P05Rik","Myof","Kcnb2","Slc9a9","BC035044","Hdac9","Pdzk1ip1","Csgalnact1","Cacnb2","Car2","Cysltr2","Apoe","Tgfbr3","Neat1","Irf2bp2","Nfia","Parp8","Cmtm7","Plscr4","Pard3b","Dst","Adgrg3","Tmsb10","Prkn","Dennd4a","Hlf","Ifitm1","Clec2d","Ikzf2","Oxr1","Meis1","Pcdh7","Slc18a2","Dach1"
"Dock10",0,0,0,0,0,0.309226932668329,0,0,0,0,0,0,0.593516209476309,0,0,0,0,0,0,0,0,0,0,-0.107231920199501,0.194513715710723,0.211970074812968,0,0,0,0,-0.134663341645885,0,0,0,0,0,0,0,0,0,0.501246882793017,-0.922693266832918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234413965087282,0.670822942643391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72069825436409,0,0,0,0,0,0.760598503740648,0,0,0,0,0,0,0,0,0,0,0
"Sult1a1",0.678304239401496,0,0,0,0,0,0,0.473815461346633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897755610972569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199501246882793,0,-0.0598503740648379,0,0
"Magi2",0.890274314214464,0,0,0.917705735660848,0,0,0.930174563591022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915211970074813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957605985037406,0,0,0,0,0,0,0,0,0,0,0,0.917705735660848,0,0,0,0,0,0,0.281795511221945,0,0.770573566084788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.326683291770574,0,0.760598503740648,0.897755610972569,0,0,0,0.538653366583541,-0.538653366583541,0.917705735660848,0.301745635910224,0,0,0,0,0,0,0,0.935162094763092,0,0,0,0,0,-0.897755610972569,0,0,0.890274314214464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718204488778055,0,0,0,0,0,0,0.765586034912718,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.922693266832918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2afy",0,0,0,-0.369077306733167,0,0.750623441396509,0,0,0,0.807980049875312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785536159600998,0,0.625935162094763,0,0,-0.760598503740648,0,0,0,0,0,0.86783042394015,0,0,0,0,0,0,0,0.613466334164589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.640897755610973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.880299251870324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slco3a1",0,0,0,0,-0.468827930174564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027431421446384,0.85286783042394,0,0,0,0,0,0,0,0.448877805486284,0,0,0,0.311720698254364,-0.780548628428928,0,0,0,0,0,0,0,0,0.211970074812968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316708229426434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167082294264339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tox",0,0,0,0,0,0,0,0,0,-0.27431421446384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630922693266833,0,0,0,0,0,0,0,0,-0.259351620947631,0,0,0,0,0.4214463840399,0,0,0,0,0,0,0,0,-0.0872817955112219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379052369077307,0,0,0,0,0,0,0,0,0,0,0,-0.114713216957606,0,0,0,0,0,0,0,0,0,0,0,0
"Itsn1",0,0,0,0,0,0,0,0.219451371571072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790523690773067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314214463840399,0,0,0,0,0,0,0
"Txnip",0,-0.897755610972569,0,0,0,0,0,0,0.640897755610973,0,-0.149625935162095,0,0,0,0,0,0,0,0,0.635910224438903,0,-0.635910224438903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.491271820448878,0,0,-0.785536159600998,0,0,0,0,0,0,0,-0.0548628428927681,0,0,0,0,0,0,0,0,-0.371571072319202,0,0,0,0,0,0,-0.618453865336658,-0.937655860349127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86783042394015,0,0,0,0,0,0,0,0,0,0,0,0.86783042394015,0,0,0,0,0,0,0,0
"Plxdc2",0,0,0,0,0,0,0,0,0,-0.807980049875312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.640897755610973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850374064837905,0,0,0,0,0,0,0.685785536159601,0,0,0,0,0,0,0,0,0,0.486284289276808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354114713216958,0,0
